cohort_month,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
2017-06,9557.49,981.82,885.34,1931.3,2068.58,1487.92,1922.74,1176.56,1119.15,1225.51,1155.66,519.62,0.0
2017-07,0.0,11557.65,644.61,1199.05,690.31,339.97,300.08,231.16,272.71999999999997,310.05,282.96,299.36,0.0
2017-08,0.0,0.0,7228.83,646.63,628.12,536.05,676.85,388.45,288.61,554.86,400.33,257.53,0.0
2017-09,0.0,0.0,0.0,14568.53,2884.49,1344.52,10261.52,1033.84,1670.08,1810.85,627.57,474.92,0.0
2017-10,0.0,0.0,0.0,0.0,21716.2,2325.21,830.65,682.01,657.77,522.37,368.1,501.14,0.0
2017-11,0.0,0.0,0.0,0.0,0.0,21036.26,1629.27,814.39,1326.1299999999999,604.04,219.88,469.02,0.0
2017-12,0.0,0.0,0.0,0.0,0.0,0.0,20767.49,1141.22,4054.7,4669.1,1371.57,1481.66,0.0
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13949.5,994.22,1026.3400000000001,481.59,211.48,0.0
2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15177.16,1015.98,286.65999999999997,270.7,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17095.49,1063.05,1114.87,0.0
2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10600.69,1209.92,0.0
2018-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13925.76,0.0
2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42
